PROJECT NO  : PRJ8803_QFN56_TOPLEFT,,,,,,,,,,
PKG_TOP_LEFT_PIN : 15,,,,,,,,,,
PACKAGE : 56QFN 14 14 14 14,,,,,,,,,,
VERSION : V1.0_20260428,,,,,,,,,,
,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO
1,VDD33_ANA,1,,-,L,L,P,,,
2,MIPI_CSI_RX_L0P,2,MIPI_CSI_RX_L0P,-,L,L,,,,
3,MIPI_CSI_RX_L0N,3,MIPI_CSI_RX_L0N,-,L,L,,,,
4,MIPI_CSI_RX_L1P,4,MIPI_CSI_RX_L1P,-,L,L,,,,
5,MIPI_CSI_RX_L1N,5,MIPI_CSI_RX_L1N,-,L,L,,,,
6,MIPI_CSI_RX_CLKP,6,MIPI_CSI_RX_CLKP,-,L,L,,,,
7,MIPI_CSI_RX_CLKN,7,MIPI_CSI_RX_CLKN,-,L,L,,,,
8,VDD11,8,,-,L,L,P,,,
9,VDD33,9,,-,L,L,P,,,
10,BOOT0_PIO_0,10,PIO_0,-,L,L,,,,
11,BOOT1_PIO_1,11,PIO_1,-,L,L,,,,
12,BOOT2_PIO_2,12,PIO_2,-,L,L,,,,
13,TEST,13,TEST,-,L,L,,,,
14,RESETN,14,RESETN,-,L,L,,,,
15,LDO_EN,15,LDO_EN,-,B,B,,,,
16,PIO_3,16,PIO_3,-,B,B,,,,
17,PIO_4,17,PIO_4,-,B,B,,,,
18,PIO_5,18,PIO_5,-,B,B,,,,
19,PIO_6,19,PIO_6,-,B,B,,,,
20,VBAT,20,,-,B,B,P,,,
,,21,VBAT_PIO_0,-,,B,,,,
,,22,VBAT_PIO_1,-,,B,,,,
,,23,VBAT_PIO_2,-,,B,,,,
21,VBAT_PIO_0,24,VBAT_PIO_3,-,B,B,,,,
22,VBAT_PIO_1,25,VBAT_PIO_4,-,B,B,,,,
,,26,VBAT_PIO_5,-,,B,,,,
,,27,VBAT_PIO_6,-,,B,,,,
23,VBAT_PIO_2,28,VBAT_PIO_7,-,B,B,,,,
24,VBAT_PIO_3,29,VBAT_PIO_8,-,B,B,,,,
25,VDD33_RAM,30,,-,B,B,P,,,
26,PSR_CE,31,PSR_CE,-,B,B,,,,
27,PSR_CK,32,PSR_CK,-,B,B,,,,
28,PSR_DQS,33,PSR_DQS,-,B,B,,,,
29,PSR_DQ0,34,PSR_DQ0,-,R,R,,,,
30,PSR_DQ1,35,PSR_DQ1,-,R,R,,,,
31,PSR_DQ2,36,PSR_DQ2,-,R,R,,,,
32,PSR_DQ3,37,PSR_DQ3,-,R,R,,,,
33,PSR_DQ4,38,PSR_DQ4,-,R,R,,,,
34,PSR_DQ5,39,PSR_DQ5,-,R,R,,,,
35,PSR_DQ6,40,PSR_DQ6,-,R,R,,,,
36,PSR_DQ7,41,PSR_DQ7,-,R,R,,,,
,,42,PIO_7,-,,R,,,,
,,43,PIO_8,-,,R,,,,
,,44,PIO_9,-,,R,,,,
,,45,PIO_10,-,,R,,,,
,,46,PIO_11,-,,R,,,,
,,47,PIO_12,-,,R,,,,
,,48,PIO_13,-,,R,,,,
,,49,PIO_14,-,,R,,,,
,,50,PIO_15,-,,R,,,,
,,51,PIO_16,-,,R,,,,
,,52,PIO_17,-,,R,,,,
37,PIO_7,53,PIO_18,-,R,R,,,,
38,PIO_8,54,PIO_19,-,R,R,,,,
39,LOUT,55,LOUT,-,R,R,,,,
40,VMID,56,VMID,-,R,R,,,,
41,VDD33_DAC,57,VDD33_DAC,-,R,R,P,,,
42,MICBIAS,58,MICBIAS,-,R,R,,,,
43,MICIN,59,MICIN,-,T,T,,,,
44,AGND,60,AGND,-,T,T,G,,,
45,PIO_9,61,PIO_20,-,T,T,,,,
46,PIO_10,62,PIO_21,-,T,T,,,,
47,PIO_11,63,PIO_22,-,T,T,,,,
48,PIO_12,64,PIO_23,-,T,T,,,,
49,PIO_13,65,PIO_24,-,T,T,,,,
50,PIO_14,66,PIO_25,-,T,T,,,,
51,PIO_15,67,PIO_26,-,T,T,,,,
52,PIO_16,68,PIO_27,-,T,T,,,,
53,PIO_17,69,PIO_28,-,T,T,,,,
54,PIO_18,70,PIO_29,-,T,T,,,,
55,PIO_19,71,PIO_30,-,T,T,,,,
56,PIO_20,72,PIO_31,-,T,T,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Inner_bound,,1,I0 (X.Y),I1 (X.Y),,,,,,
